Sample #	Bacteria	Treatment	Experiment	Group
MAE080	MF136	flg22minus	e1	MF136.flg22minus
MAE081	MF136	flg22minus	e1	MF136.flg22minus
MAE082	MF136	flg22plus	e1	MF136.flg22plus
MAE083	MF136	flg22plus	e1	MF136.flg22plus
MAE084	MF136	flg22plus	e1	MF136.flg22plus
MAE085	MF138	flg22minus	e1	MF138.flg22minus
MAE086	MF138	flg22minus	e1	MF138.flg22minus
MAE087	MF138	flg22minus	e1	MF138.flg22minus
MAE088	MF138	flg22plus	e1	MF138.flg22plus
MAE089	MF138	flg22plus	e1	MF138.flg22plus
MAE090	MF138	flg22plus	e1	MF138.flg22plus
MAE091	MF161	flg22minus	e1	MF161.flg22minus
MAE092	MF161	flg22minus	e1	MF161.flg22minus
MAE093	MF161	flg22minus	e1	MF161.flg22minus
MAE094	MF161	flg22plus	e1	MF161.flg22plus
MAE095	MF161	flg22plus	e1	MF161.flg22plus
MAE096	MF161	flg22plus	e1	MF161.flg22plus
MAE097	MF181	flg22minus	e1	MF181.flg22minus
MAE098	MF181	flg22minus	e1	MF181.flg22minus
MAE099	MF181	flg22minus	e1	MF181.flg22minus
MAE101	MF181	flg22plus	e1	MF181.flg22plus
MAE102	MF181	flg22plus	e1	MF181.flg22plus
MAE103	MF273	flg22minus	e1	MF273.flg22minus
MAE104	MF273	flg22minus	e1	MF273.flg22minus
MAE105	MF273	flg22minus	e1	MF273.flg22minus
MAE106	MF273	flg22plus	e1	MF273.flg22plus
MAE107	MF273	flg22plus	e1	MF273.flg22plus
MAE108	MF273	flg22plus	e1	MF273.flg22plus
MAE109	MF299	flg22minus	e1	MF299.flg22minus
MAE110	MF299	flg22minus	e1	MF299.flg22minus
MAE111	MF299	flg22minus	e1	MF299.flg22minus
MAE112	MF299	flg22plus	e1	MF299.flg22plus
MAE113	MF299	flg22plus	e1	MF299.flg22plus
MAE114	MF299	flg22plus	e1	MF299.flg22plus
MAE115	MF302	flg22minus	e1	MF302.flg22minus
MAE116	MF302	flg22minus	e1	MF302.flg22minus
MAE117	MF302	flg22minus	e1	MF302.flg22minus
MAE118	MF302	flg22plus	e1	MF302.flg22plus
MAE119	MF302	flg22plus	e1	MF302.flg22plus
MAE120	MF302	flg22plus	e1	MF302.flg22plus
MAE121	MF303	flg22minus	e1	MF303.flg22minus
MAE122	MF303	flg22minus	e1	MF303.flg22minus
MAE123	MF303	flg22minus	e1	MF303.flg22minus
MAE124	MF303	flg22plus	e1	MF303.flg22plus
MAE125	MF303	flg22plus	e1	MF303.flg22plus
MAE126	MF303	flg22plus	e1	MF303.flg22plus
MAE127	MF314	flg22minus	e1	MF314.flg22minus
MAE128	MF314	flg22minus	e1	MF314.flg22minus
MAE129	MF314	flg22minus	e1	MF314.flg22minus
MAE130	MF314	flg22plus	e1	MF314.flg22plus
MAE131	MF314	flg22plus	e1	MF314.flg22plus
MAE132	MF314	flg22plus	e1	MF314.flg22plus
MAE133	MF327	flg22minus	e1	MF327.flg22minus
MAE134	MF327	flg22minus	e1	MF327.flg22minus
MAE135	MF327	flg22minus	e1	MF327.flg22minus
MAE136	MF327	flg22plus	e1	MF327.flg22plus
MAE137	MF327	flg22plus	e1	MF327.flg22plus
MAE138	MF327	flg22plus	e1	MF327.flg22plus
MAE139	MF339	flg22minus	e1	MF339.flg22minus
MAE140	MF339	flg22minus	e1	MF339.flg22minus
MAE141	MF339	flg22minus	e1	MF339.flg22minus
MAE142	MF339	flg22plus	e1	MF339.flg22plus
MAE143	MF339	flg22plus	e1	MF339.flg22plus
MAE144	MF339	flg22plus	e1	MF339.flg22plus
MAE145	MF345	flg22minus	e1	MF345.flg22minus
MAE146	MF345	flg22minus	e1	MF345.flg22minus
MAE147	MF345	flg22minus	e1	MF345.flg22minus
MAE148	MF345	flg22plus	e1	MF345.flg22plus
MAE149	MF345	flg22plus	e1	MF345.flg22plus
MAE150	MF345	flg22plus	e1	MF345.flg22plus
MAE151	MF360	flg22minus	e1	MF360.flg22minus
MAE152	MF360	flg22minus	e1	MF360.flg22minus
MAE153	MF360	flg22minus	e1	MF360.flg22minus
MAE154	MF360	flg22plus	e1	MF360.flg22plus
MAE155	MF360	flg22plus	e1	MF360.flg22plus
MAE156	MF360	flg22plus	e1	MF360.flg22plus
MAE157	MF362	flg22minus	e1	MF362.flg22minus
MAE158	MF362	flg22minus	e1	MF362.flg22minus
MAE159	MF362	flg22minus	e1	MF362.flg22minus
MAE160	MF362	flg22plus	e1	MF362.flg22plus
MAE161	MF362	flg22plus	e1	MF362.flg22plus
MAE162	MF362	flg22plus	e1	MF362.flg22plus
MAE163	MF370	flg22minus	e1	MF370.flg22minus
MAE164	MF370	flg22minus	e1	MF370.flg22minus
MAE165	MF370	flg22minus	e1	MF370.flg22minus
MAE166	MF370	flg22plus	e1	MF370.flg22plus
MAE167	MF370	flg22plus	e1	MF370.flg22plus
MAE168	MF370	flg22plus	e1	MF370.flg22plus
MAE169	MF374	flg22minus	e1	MF374.flg22minus
MAE170	MF374	flg22minus	e1	MF374.flg22minus
MAE171	MF374	flg22minus	e1	MF374.flg22minus
MAE172	MF374	flg22plus	e1	MF374.flg22plus
MAE173	MF374	flg22plus	e1	MF374.flg22plus
